file	line	terms	excerpt
constants.tsx	31	inadimplencia	inadimplencia: 0.85,
constants.tsx	36	matricula	{ month: 'Jan', alunos: 498, matriculas: 42, evasoes: 12 },
constants.tsx	37	matricula	{ month: 'Fev', alunos: 464, matriculas: 29, evasoes: 49 },
constants.tsx	38	matricula	{ month: 'Mar', alunos: 473, matriculas: 20, evasoes: 9 },
constants.tsx	39	matricula	{ month: 'Abr', alunos: 468, matriculas: 21, evasoes: 26 },
constants.tsx	40	matricula	{ month: 'Mai', alunos: 458, matriculas: 37, evasoes: 47 },
constants.tsx	41	matricula	{ month: 'Jun', alunos: 458, matriculas: 12, evasoes: 5 },
constants.tsx	42	matricula	{ month: 'Jul', alunos: 441, matriculas: 17, evasoes: 37 },
constants.tsx	43	matricula	{ month: 'Ago', alunos: 454, matriculas: 29, evasoes: 11 },
constants.tsx	44	matricula	{ month: 'Set', alunos: 448, matriculas: 23, evasoes: 29 },
constants.tsx	45	matricula	{ month: 'Out', alunos: 415, matriculas: 11, evasoes: 40 },
constants.tsx	46	matricula	{ month: 'Nov', alunos: 419, matriculas: 24, evasoes: 14 },
constants.tsx	47	matricula	{ month: 'Dez', alunos: 417, matriculas: 6, evasoes: 9 },
constants.tsx	54	matricula	matriculasAno: 189,
constants.tsx	59	permanencia	permanenciaMeses: 16,
constants.tsx	60	inadimplencia	inadimplencia: 1.10,
constants.tsx	65	matricula	{ month: 'Jan', alunos: 311, matriculas: 30, evasoes: 13 },
constants.tsx	66	matricula	{ month: 'Fev', alunos: 305, matriculas: 17, evasoes: 23 },
constants.tsx	67	matricula	{ month: 'Mar', alunos: 315, matriculas: 18, evasoes: 8 },
constants.tsx	68	matricula	{ month: 'Abr', alunos: 308, matriculas: 17, evasoes: 24 },
constants.tsx	69	matricula	{ month: 'Mai', alunos: 311, matriculas: 10, evasoes: 7 },
constants.tsx	70	matricula	{ month: 'Jun', alunos: 310, matriculas: 10, evasoes: 11 },
constants.tsx	71	matricula	{ month: 'Jul', alunos: 300, matriculas: 9, evasoes: 21 },
constants.tsx	72	matricula	{ month: 'Ago', alunos: 329, matriculas: 40, evasoes: 9 },
constants.tsx	73	matricula	{ month: 'Set', alunos: 321, matriculas: 15, evasoes: 24 },
constants.tsx	74	matricula	{ month: 'Out', alunos: 315, matriculas: 6, evasoes: 14 },
constants.tsx	75	matricula	{ month: 'Nov', alunos: 317, matriculas: 13, evasoes: 11 },
constants.tsx	76	matricula	{ month: 'Dez', alunos: 297, matriculas: 4, evasoes: 24 },
constants.tsx	83	matricula	matriculasAno: 142,
constants.tsx	88	permanencia	permanenciaMeses: 14,
constants.tsx	89	inadimplencia	inadimplencia: 0.48,
constants.tsx	94	matricula	{ month: 'Jan', alunos: 217, matriculas: 16, evasoes: 11 },
constants.tsx	95	matricula	{ month: 'Fev', alunos: 225, matriculas: 18, evasoes: 9 },
constants.tsx	96	matricula	{ month: 'Mar', alunos: 228, matriculas: 13, evasoes: 10 },
constants.tsx	97	matricula	{ month: 'Abr', alunos: 224, matriculas: 6, evasoes: 13 },
constants.tsx	98	matricula	{ month: 'Mai', alunos: 218, matriculas: 12, evasoes: 19 },
constants.tsx	99	matricula	{ month: 'Jun', alunos: 213, matriculas: 12, evasoes: 17 },
constants.tsx	100	matricula	{ month: 'Jul', alunos: 216, matriculas: 13, evasoes: 10 },
constants.tsx	101	matricula	{ month: 'Ago', alunos: 227, matriculas: 17, evasoes: 6 },
constants.tsx	102	matricula	{ month: 'Set', alunos: 231, matriculas: 13, evasoes: 10 },
constants.tsx	103	matricula	{ month: 'Out', alunos: 232, matriculas: 10, evasoes: 9 },
constants.tsx	104	matricula	{ month: 'Nov', alunos: 236, matriculas: 9, evasoes: 5 },
constants.tsx	105	matricula	{ month: 'Dez', alunos: 221, matriculas: 3, evasoes: 16 },
constants.tsx	116	matricula	matriculas: [
constants.tsx	141	matricula	matriculas: { cg: 194, recreio: 118, barra: 124, total: 436 },
constants.tsx	147	matricula	matriculas: { cg: 323, recreio: 187, barra: 178, total: 688 },
constants.tsx	153	matricula	matriculas: { cg: 271, recreio: 189, barra: 142, total: 602 },
GEMINI.md	8	kpi	2. `docs/PRD.md` (Regras de Negócio e KPIs)
GEMINI.md	26	matricula	- `.claude/memory/regras-negocio.md` — Pipeline, Churn, Matriculas.
App.tsx	13	kpi	import LearningsKPIs from './src/components/LearningsKPIs.tsx';
App.tsx	16	retencao	import { RetencaoDashboard } from './src/components/Retencao';
App.tsx	248	matricula	case 'matriculas':
App.tsx	249	matrícula	formattedValue = `${value} matrículas`;
App.tsx	288	retencao	const [currentPage, setCurrentPage] = useState<'gestao' | 'comercial' | 'retencao'>('gestao');
App.tsx	298	matricula	const [distributionMetric, setDistributionMetric] = useState<'alunos' | 'matriculas' | 'evasoes' | 'faturamento'>('alunos');
App.tsx	300	matricula	const [seasonalityMetric, setSeasonalityMetric] = useState<'evasoes' | 'matriculas'>('evasoes');
App.tsx	303	inadimplencia,matricula	cg: { alunos: 500, churn: '4%', renovacao: '90%', ticket: 'R$ 395', matriculas: 30, inadimplencia: '< 1,5%', faturamento: 'R$ 200.000' },
App.tsx	304	inadimplencia,matricula	recreio: { alunos: 400, churn: '4%', renovacao: '90%', ticket: 'R$ 455', matriculas: 25, inadimplencia: '< 1,5%', faturamento: 'R$ 180.000' },
App.tsx	305	inadimplencia,matricula	barra: { alunos: 280, churn: '4%', renovacao: '90%', ticket: 'R$ 465', matriculas: 20, inadimplencia: '< 1,5%', faturamento: 'R$ 130.000' },
App.tsx	354	retencao	const handlePageChange = (page: 'gestao' | 'comercial' | 'retencao') => {
App.tsx	376	inadimplencia,matricula,permanencia	2023: { alunos: 687, matriculas: 436, evasoes: 409, churn: 5.4, renovacao: null, ticket: 369, permanencia: null, inadimplencia: null },
App.tsx	377	inadimplencia,matricula,permanencia	2024: { alunos: 970, matriculas: 688, evasoes: 449, churn: 4.8, renovacao: null, ticket: 399, permanencia: null, inadimplencia: null },
App.tsx	378	inadimplencia,matricula,permanencia	2025: { alunos: 935, matriculas: 602, evasoes: 612, churn: 5.27, renovacao: 83.6, ticket: 414, permanencia: 16, inadimplencia: 0.81 }
App.tsx	381	inadimplencia,matricula,permanencia	2023: { alunos: 321, matriculas: 194, evasoes: 208, churn: 5.1, renovacao: null, ticket: 312, permanencia: null, inadimplencia: null },
App.tsx	382	inadimplencia,matricula,permanencia	2024: { alunos: 463, matriculas: 323, evasoes: 213, churn: 4.6, renovacao: null, ticket: 345, permanencia: null, inadimplencia: null },
App.tsx	383	inadimplencia,matricula,permanencia	2025: { alunos: 417, matriculas: 271, evasoes: 288, churn: 5.89, renovacao: 76.58, ticket: 375, permanencia: 19, inadimplencia: 0.85 }
App.tsx	386	inadimplencia,matricula,permanencia	2023: { alunos: 219, matriculas: 118, evasoes: 127, churn: 4.5, renovacao: null, ticket: 388, permanencia: null, inadimplencia: null },
App.tsx	387	inadimplencia,matricula,permanencia	2024: { alunos: 295, matriculas: 187, evasoes: 117, churn: 3.9, renovacao: null, ticket: 418, permanencia: null, inadimplencia: null },
App.tsx	388	inadimplencia,matricula,permanencia	2025: { alunos: 297, matriculas: 189, evasoes: 189, churn: 5.01, renovacao: 87.04, ticket: 430, permanencia: 15, inadimplencia: 1.10 }
App.tsx	391	inadimplencia,matricula,permanencia	2023: { alunos: 147, matriculas: 124, evasoes: 74, churn: 6.7, renovacao: null, ticket: 407, permanencia: null, inadimplencia: null },
App.tsx	392	inadimplencia,matricula,permanencia	2024: { alunos: 212, matriculas: 178, evasoes: 119, churn: 6.0, renovacao: null, ticket: 435, permanencia: null, inadimplencia: null },
App.tsx	393	inadimplencia,matricula,permanencia	2025: { alunos: 221, matriculas: 142, evasoes: 135, churn: 4.90, renovacao: 87.18, ticket: 440, permanencia: 14, inadimplencia: 0.48 }
App.tsx	403	retenção	text: '2025 quebrou a tendência de crescimento. Após expandir 41% em 2024, a retração de 3,6% sinaliza esgotamento do modelo ou falha na retenção (+36% de evasões).'
App.tsx	405	matricula	matriculas: {
App.tsx	408	matrícula	text: 'Após recorde de 688 matrículas em 2024, caímos 12,5% em 2025. Apenas Recreio manteve crescimento (+1,1%). Ações de marketing precisam ser revisadas.'
App.tsx	436	evasão	title: 'Estabilidade às Custas de Evasão',
App.tsx	437	matrícula	text: 'Recreio manteve base estável (+0,7%), mas com aumento brutal de evasões (+61,5%). Agosto/25 teve recorde de 40 matrículas. Replicar ações de agosto.'
App.tsx	444	inadimplência	text: 'Única unidade que cresceu em 2025 (+4,2%) e reduziu o churn (-1,1pp). Menor inadimplência do grupo (0,48%). Modelo a ser estudado e replicado.'
App.tsx	453	matricula	matriculas: 850,
App.tsx	458	permanencia	permanencia: 15,
App.tsx	459	inadimplencia	inadimplencia: 2
App.tsx	463	matricula	matriculas: 420,
App.tsx	468	permanencia	permanencia: 18,
App.tsx	469	inadimplencia	inadimplencia: 2
App.tsx	473	matricula	matriculas: 250,
App.tsx	478	permanencia	permanencia: 14,
App.tsx	479	inadimplencia	inadimplencia: 2
App.tsx	483	matricula	matriculas: 180,
App.tsx	488	permanencia	permanencia: 13,
App.tsx	489	inadimplencia	inadimplencia: 2
App.tsx	493	matrícula	// Dados históricos de sazonalidade (evasões e matrículas mensais)
App.tsx	512	matricula	matriculas: {
App.tsx	548	inadimplência	{ metric: 'Inadimplência', cg: 80, recreio: 60, barra: 100 },
App.tsx	550	ltv	{ metric: 'LTV', cg: 100, recreio: 70, barra: 60 },
App.tsx	558	retenção	// Se estiver na página retenção, renderiza o dashboard de retenção
App.tsx	559	retencao	if (currentPage === 'retencao') {
App.tsx	560	retencao	return <RetencaoDashboard onPageChange={handlePageChange} />;
App.tsx	600	retenção	{/* Navegação entre Gestão, Comercial e Retenção */}
App.tsx	616	retencao	onClick={() => handlePageChange('retencao')}
App.tsx	620	retenção	<span className="text-sm font-medium">Retenção</span>
App.tsx	736	matricula	const matriculasTrend = getTrend(currentData.matriculas, previousData?.matriculas);
App.tsx	743	pagante	title="Alunos Pagantes"
App.tsx	749	pagante	<div className="text-sm text-slate-400 mt-1">Alunos Pagantes (Dez/{overviewYear.toString().slice(-2)})</div>
App.tsx	760	matrícula	title="Novas Matrículas"
App.tsx	762	matricula	trend={matriculasTrend ? (matriculasTrend.isPositive ? "up" : "down") : undefined}
App.tsx	763	matricula	trendValue={matriculasTrend ? `${matriculasTrend.isPositive ? '+' : ''}${matriculasTrend.value.toFixed(1)}%` : undefined}
App.tsx	765	matricula	<div className="text-5xl font-grotesk font-bold mt-2">{currentData.matriculas}</div>
App.tsx	766	matrícula	<div className="text-sm text-slate-400 mt-1">Novas Matrículas no Ano</div>
App.tsx	769	matricula	current={currentData.matriculas}
App.tsx	770	matricula	meta={metas2025[overviewUnit].matriculas}
App.tsx	821	permanencia	const permanenciaTrend = getTrend(currentData.permanencia, previousData?.permanencia);
App.tsx	859	permanência	title="Tempo de Permanência"
App.tsx	861	permanencia	trend={permanenciaTrend ? (permanenciaTrend.isPositive ? "up" : "down") : undefined}
App.tsx	862	permanencia	trendValue={permanenciaTrend ? `${permanenciaTrend.isPositive ? '+' : ''}${permanenciaTrend.value.toFixed(1)} meses` : undefined}
App.tsx	864	permanencia	{currentData.permanencia !== null ? (
App.tsx	865	permanencia	<div className="text-4xl font-grotesk font-bold mt-2">{currentData.permanencia}</div>
App.tsx	869	permanência	<div className="text-sm text-slate-400 mt-1">Tempo de Permanência (meses)</div>
App.tsx	870	permanencia	{overviewYear === 2025 && currentData.permanencia !== null && (
App.tsx	872	permanencia	current={currentData.permanencia}
App.tsx	873	permanencia	meta={metas2025[overviewUnit].permanencia}
App.tsx	880	inadimplência	title="Inadimplência Média"
App.tsx	882	inadimplencia	trend={currentData.inadimplencia !== null && currentData.inadimplencia < 1.5 ? "up" : undefined}
App.tsx	883	inadimplencia	trendValue={currentData.inadimplencia !== null && currentData.inadimplencia < 1.5 ? "Meta Batida!" : undefined}
App.tsx	885	inadimplencia	{currentData.inadimplencia !== null ? (
App.tsx	886	inadimplencia	<div className="text-4xl font-grotesk font-bold mt-2 text-accent-green">{currentData.inadimplencia}%</div>
App.tsx	890	inadimplência	<div className="text-sm text-slate-400 mt-1">Inadimplência Média</div>
App.tsx	891	inadimplencia	{overviewYear === 2025 && currentData.inadimplencia !== null && (
App.tsx	893	inadimplencia	current={currentData.inadimplencia}
App.tsx	894	inadimplencia	meta={metas2025[overviewUnit].inadimplencia}
App.tsx	939	matricula	{(['alunos', 'matriculas', 'evasoes', 'faturamento'] as const).map(metric => (
App.tsx	949	matricula,matrícula	{metric === 'alunos' ? 'Alunos' : metric === 'matriculas' ? 'Matrículas' : metric === 'evasoes' ? 'Evasões' : 'Faturamento'}
App.tsx	1079	matricula	{(['alunos', 'matriculas', 'evasoes', 'churn', 'ticket'] as MetricType[]).map(m => (
App.tsx	1131	matrícula	name: 'Matrículas',
App.tsx	1132	matricula	key: 'matriculas',
App.tsx	1133	matricula	v2023: unitData[2023].matriculas,
App.tsx	1134	matricula	v2024: unitData[2024].matriculas,
App.tsx	1135	matricula	v2025: unitData[2025].matriculas,
App.tsx	1136	matricula	meta: unitMetas.matriculas,
App.tsx	1181	permanência	name: 'Permanência',
App.tsx	1182	permanencia	key: 'permanencia',
App.tsx	1183	permanencia	v2023: unitData[2023].permanencia,
App.tsx	1184	permanencia	v2024: unitData[2024].permanencia,
App.tsx	1185	permanencia	v2025: unitData[2025].permanencia,
App.tsx	1186	permanencia	meta: unitMetas.permanencia,
App.tsx	1191	inadimplência	name: 'Inadimplência',
App.tsx	1192	inadimplencia	key: 'inadimplencia',
App.tsx	1193	inadimplencia	v2023: unitData[2023].inadimplencia,
App.tsx	1194	inadimplencia	v2024: unitData[2024].inadimplencia,
App.tsx	1195	inadimplencia	v2025: unitData[2025].inadimplencia,
App.tsx	1196	inadimplencia	meta: unitMetas.inadimplencia,
App.tsx	1337	matricula	const matriculasBadge = u.id === 'recreio' ? '+1,1%' : u.id === 'barra' ? '-20,2%' : null;
App.tsx	1346	pagante	<span className="text-xs uppercase font-black text-slate-400 tracking-widest">Alunos Pagantes (Dez)</span>
App.tsx	1353	matrícula	{/* Card 2 - Matrículas */}
App.tsx	1356	matrícula	<span className="text-xs uppercase font-black text-slate-400 tracking-widest">Novas Matrículas</span>
App.tsx	1357	matricula	{matriculasBadge && <Badge variant={u.id === 'recreio' ? 'success' : 'danger'}>{matriculasBadge}</Badge>}
App.tsx	1359	matricula	<div className="text-4xl font-grotesk font-bold">{u.matriculasAno}</div>
App.tsx	1360	matricula	<div className="text-xs text-slate-400 mt-2">Média: {(u.matriculasAno / 12).toFixed(1)}/mês</div>
App.tsx	1410	matrícula	<h3 className="text-xl font-grotesk font-bold mb-6">Fluxo: Matrículas vs Evasões</h3>
App.tsx	1418	matricula	<Bar dataKey="matriculas" fill={THEME_COLORS.green} name="Entradas" radius={[4, 4, 0, 0]} />
App.tsx	1427	matrícula	<h4 className="text-sm font-bold text-accent-green mb-3">Melhor Mês para Matrículas</h4>
App.tsx	1433	evasão	<h4 className="text-sm font-bold text-accent-pink mb-3">Meses Críticos de Evasão</h4>
App.tsx	1439	ltv	<h4 className="text-sm font-bold text-accent-cyan mb-3">LTV</h4>
App.tsx	1454	inadimplência	A Barra é a única unidade que cresceu em base de alunos (+4), possui o menor churn (4,9%), a menor inadimplência (0,48%) e o maior ticket. O "jeito Barra" precisa ser mapeado e replicado.
App.tsx	1469	kpi	subtitle="Quem performou melhor em cada KPI"
App.tsx	1493	inadimplência	<h4 className="text-slate-400 font-semibold text-base mb-6">Menor Inadimplência</h4>
App.tsx	1554	inadimplência	<td className="px-4 py-3 text-slate-400">Inadimplência</td>
App.tsx	1568	ltv	<td className="px-4 py-3 text-slate-400">LTV</td>
App.tsx	1607	matricula	onClick={() => setSeasonalityMetric('matriculas')}
App.tsx	1608	matricula	className={`px-6 py-2 rounded-xl text-sm font-bold transition-all ${seasonalityMetric === 'matriculas' ? 'bg-accent-green text-white' : 'bg-slate-800 text-slate-400 hover:bg-slate-700'}`}
App.tsx	1610	matrícula	Matrículas
App.tsx	1642	evasão	Meses de ALTO RISCO (Evasão)
App.tsx	1673	matrícula	<div className="text-sm text-slate-400">Média: 88 matrículas/ano</div>
App.tsx	1678	matrícula	<div className="text-sm text-slate-400">2025: 86 matrículas (recorde!)</div>
App.tsx	1688	matricula	const isMatriculas = metric === 'matriculas';
App.tsx	1726	matrícula	// Função de cor para matrículas (individual - verde = melhor)
App.tsx	1727	matricula	const getColorMatriculas = (val: number) => {
App.tsx	1734	matrícula	// Função de cor para matrículas TOTAL (escala 3x)
App.tsx	1735	matricula	const getColorMatriculasTotal = (val: number) => {
App.tsx	1742	matricula	const getColor = isMatriculas ? getColorMatriculas : getColorEvasoes;
App.tsx	1743	matricula	const getColorTotal = isMatriculas ? getColorMatriculasTotal : getColorEvasoesTotal;
App.tsx	1748	matricula,matrícula	Heatmap de {isMatriculas ? 'Matrículas' : 'Evasões'} {year === 'todos' ? '(Comparativo)' : year} (Grupo)
App.tsx	1760	matricula,matrícula	<CustomTooltipHeatmap content={`${MONTHS[idx]}: ${val} ${isMatriculas ? 'matrículas' : 'evasões'}`}>
App.tsx	1770	matricula,matrícula	<CustomTooltipHeatmap content={`${MONTHS[idx]}: ${val} ${isMatriculas ? 'matrículas' : 'evasões'}`}>
App.tsx	1780	matricula,matrícula	<CustomTooltipHeatmap content={`${MONTHS[idx]}: ${val} ${isMatriculas ? 'matrículas' : 'evasões'}`}>
App.tsx	1790	matricula,matrícula	<CustomTooltipHeatmap content={`${MONTHS[idx]}: ${val} ${isMatriculas ? 'matrículas' : 'evasões'} (total)`}>
App.tsx	1801	matricula	{isMatriculas ? (
App.tsx	1818	matricula	{isMatriculas
App.tsx	1830	matrícula	{/* Gráfico de Sazonalidade: Evasões vs Matrículas */}
App.tsx	1833	matrícula	<h3 className="text-xl font-bold mb-8">Padrão Sazonal: Evasões vs Matrículas (2025)</h3>
App.tsx	1838	matricula	matriculas: seasonalityData.matriculas['2025'].cg[idx] + seasonalityData.matriculas['2025'].recreio[idx] + seasonalityData.matriculas['2025'].barra[idx]
App.tsx	1846	matricula,matrícula	<Line type="monotone" dataKey="matriculas" stroke={THEME_COLORS.green} strokeWidth={3} name="Matrículas" dot={{ r: 5, fill: THEME_COLORS.green }} />
App.tsx	1857	evasão	<h4 className="text-lg font-bold text-accent-yellow mb-3">⚠️ Reajuste = Pico de Evasão</h4>
App.tsx	1865	matrícula	<h4 className="text-lg font-bold text-accent-pink mb-3">Meses Críticos (Evasões &gt; Matrículas)</h4>
App.tsx	1879	matrícula	<h4 className="text-lg font-bold text-accent-green mb-3">Meses de Ouro (Matrículas &gt; Evasões)</h4>
App.tsx	1955	matrícula	{ metrica: 'Matrículas/mês', meta: '35', realizado: '22,6', gap: '-12,4', status: 'nao_atingida' },
App.tsx	1956	inadimplência	{ metrica: 'Inadimplência', meta: '<2%', realizado: '0,85%', gap: 'OK', status: 'atingida' },
App.tsx	1964	matrícula	{ metrica: 'Matrículas/mês', meta: '25', realizado: '15,75', gap: '-9,25', status: 'nao_atingida' },
App.tsx	1965	inadimplência	{ metrica: 'Inadimplência', meta: '<2%', realizado: '1,10%', gap: 'OK', status: 'atingida' },
App.tsx	1973	matrícula	{ metrica: 'Matrículas/mês', meta: '20', realizado: '11,83', gap: '-8,17', status: 'nao_atingida' },
App.tsx	1974	inadimplência	{ metrica: 'Inadimplência', meta: '<2%', realizado: '0,48%', gap: 'OK', status: 'atingida', nota: 'Melhor!' },
App.tsx	2137	matrícula	40 matrículas — recorde da unidade! Podemos replicar?
App.tsx	2177	evasão	As trocas de colaboradores coincidem com picos de evasão?
App.tsx	2184	matrícula	{/* Card 5 - Dezembro Matrículas */}
App.tsx	2198	matrícula	Por que Dezembro tem tão poucas matrículas?
App.tsx	2201	matrícula	Apenas 13 matrículas no grupo em Dez/25. Férias? Falta de ação comercial?
App.tsx	2219	matrícula	Como a Barra cresceu mesmo com menos matrículas?
App.tsx	2222	evasão,matrícula	+4,2% de alunos com -20% de matrículas. Segredo: menor evasão. Replicar!
App.tsx	2311	retenção	{/* Card 11 - Retenção vs Captação */}
App.tsx	2325	retenção	Vale investir mais em retenção ou captação?
App.tsx	2328	evasão	Custo de evasão: ~R$1,5M/ano. Quanto custa reter vs captar um aluno novo?
App.tsx	2378	matrícula	612 evasões vs 449 em 2024 (+36,3%). Mesmo com 602 matrículas, saldo foi negativo.
App.tsx	2404	matrícula	Em 2024 cresceu 66% em matrículas. Em 2025 caiu 16%. O que mudou?
App.tsx	2434	inadimplência	<h4 className="text-lg font-semibold text-white mb-2">Inadimplência Sob Controle</h4>
App.tsx	2460	ltv	<h4 className="text-lg font-semibold text-white mb-2">LTV Aumentando</h4>
App.tsx	2462	permanência	Quem fica, está ficando mais tempo. Todas as unidades aumentaram o tempo de permanência.
App.tsx	2475	inadimplência	Única que cresceu, menor churn, menor inadimplência. Entender e replicar!
App.tsx	2543	inadimplência	{ title: "Controle rigoroso de inadimplência", metric: "Todas unidades < 2% (meta atingida)" },
App.tsx	2545	ltv,permanência	{ title: "LTV aumentou em todas as unidades", metric: "Permanência média: 16 meses (+2)" },
App.tsx	2546	retenção	{ title: "Barra como modelo de escala e retenção", metric: "Menor churn (4,9%) + crescimento" },
App.tsx	2547	matrícula	{ title: "Agosto como mês recorde de captação", metric: "86 matrículas (+60 saldo líquido)" },
App.tsx	2548	matrícula	{ title: "Janeiro forte para captação", metric: "88 matrículas (+52 saldo líquido)" },
App.tsx	2574	kpi	{ title: "Acompanhamento semanal de KPIs", metric: "Detectar problemas antes de escalar" },
App.tsx	2578	retenção	{ title: "Protocolo de retenção preventivo", metric: "Agir ANTES do aluno pedir cancelamento" },
App.tsx	2580	matrícula	{ title: "Dezembro morto para captação", metric: "Apenas 13 matrículas no mês" }
App.tsx	2604	retenção	{ title: "Protocolo de retenção 30d antes dos picos", metric: "Ligar para alunos em risco em Jan e Abr" },
App.tsx	2605	kpi	{ title: "Dashboard de tempo real (LA DashFinance)", metric: "Alertas automáticos de KPIs críticos" },
App.tsx	2606	kpi	{ title: "Reunião quinzenal de KPIs por unidade", metric: "Gestores + Diretoria analisando dados" },
App.tsx	2608	matrícula	{ title: "Programa de indicação estruturado", metric: "Meta: 20% das matrículas via indicação" },
App.tsx	2629	kpi	{/* KPIs de Acompanhamento */}
App.tsx	2630	kpi	<LearningsKPIs />
MAPEAMENTO_FRONTEND_DADOS.md	13	matrícula,pagante	#### COMPONENTE: Cards de Gestão (Pagantes, Matrículas, Evasões, Ticket)
MAPEAMENTO_FRONTEND_DADOS.md	15	kpi	- Período atual: `vw_kpis_gestao_mensal`
MAPEAMENTO_FRONTEND_DADOS.md	16	kpi,retencao	- Período histórico: `dados_mensais` → fallback para `alunos` + `vw_kpis_retencao_mensal`
MAPEAMENTO_FRONTEND_DADOS.md	20	kpi	SELECT * FROM vw_kpis_gestao_mensal WHERE ano = 2026 AND mes = 2 [AND unidade_id = ?]
MAPEAMENTO_FRONTEND_DADOS.md	29	conversão	#### COMPONENTE: Cards de Comercial (Leads, Experimentais, Conversão, Ticket Passaporte)
MAPEAMENTO_FRONTEND_DADOS.md	31	kpi	- Período histórico: `vw_kpis_comercial_historico`
MAPEAMENTO_FRONTEND_DADOS.md	35	kpi	SELECT * FROM vw_kpis_comercial_historico WHERE ano = ? AND mes >= ? AND mes <= ? [AND unidade_id = ?]
MAPEAMENTO_FRONTEND_DADOS.md	50	pagante	SELECT ano, mes, alunos_pagantes FROM dados_mensais WHERE ano >= ? [AND unidade_id = ?] ORDER BY ano, mes
MAPEAMENTO_FRONTEND_DADOS.md	70	kpi	#### COMPONENTE: Resumo do Mês (KPIs)
MAPEAMENTO_FRONTEND_DADOS.md	72	kpi	- Período atual: `vw_kpis_gestao_mensal`
MAPEAMENTO_FRONTEND_DADOS.md	74	kpi,retencao,retenção	- Retenção: `vw_kpis_retencao_mensal`
MAPEAMENTO_FRONTEND_DADOS.md	77	kpi	SELECT * FROM vw_kpis_gestao_mensal WHERE ano = ? AND mes = ? [AND unidade_id = ?]
